Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2017-05    ,0.93   ,-2.70   ,-4.28    ,2.34   ,-1.75    ,0.06
2017-06    ,0.99    ,2.50    ,1.66   ,-2.69   ,-0.87    ,0.06
2017-07    ,1.97   ,-1.14    ,0.08   ,-0.69   ,-0.05    ,0.07
2017-08    ,0.06   ,-1.41   ,-2.61    ,1.29   ,-2.43    ,0.09
2017-09    ,2.48    ,3.24    ,2.58   ,-1.33    ,1.64    ,0.09
2017-10    ,1.98   ,-1.72   ,-1.69    ,1.47   ,-3.48    ,0.09
2017-11    ,2.88   ,-0.13   ,-1.02    ,2.69    ,0.18    ,0.08
2017-12    ,1.18   ,-0.33   ,-0.34    ,0.57    ,1.12    ,0.09
2018-01    ,5.23   ,-2.88   ,-2.87    ,0.00   ,-1.08    ,0.11
2018-02   ,-3.95   ,-0.23   ,-2.74    ,0.86   ,-2.59    ,0.11
2018-03   ,-2.17    ,2.98    ,0.16   ,-0.46   ,-0.04    ,0.12
2018-04    ,0.35    ,0.46    ,1.36   ,-1.91    ,0.74    ,0.14
2018-05    ,2.51    ,2.86   ,-3.41   ,-1.37   ,-1.71    ,0.14
2018-06    ,0.39    ,0.18   ,-1.04    ,1.18    ,0.88    ,0.14
2018-07    ,3.11   ,-2.11    ,0.79    ,1.12    ,0.55    ,0.16
2018-08    ,3.09    ,0.56   ,-5.77    ,0.56   ,-3.46    ,0.16
2018-09    ,0.06   ,-2.24   ,-1.10    ,0.38    ,0.59    ,0.15
2018-10   ,-7.81   ,-3.80    ,3.67    ,0.24    ,2.82    ,0.19
2018-11    ,1.62   ,-1.49    ,0.28   ,-0.21    ,1.03    ,0.18
2018-12   ,-9.52   ,-2.19   ,-0.81   ,-0.20   ,-0.51    ,0.19
2019-01    ,8.59    ,2.87   ,-1.15   ,-0.86   ,-1.57    ,0.21
2019-02    ,3.39    ,1.98   ,-3.23   ,-0.04   ,-1.27    ,0.18
2019-03    ,0.95   ,-3.39   ,-3.77    ,1.34   ,-1.39    ,0.19
2019-04    ,3.90   ,-0.96    ,0.81    ,1.15   ,-1.19    ,0.21
2019-05   ,-6.82   ,-1.08   ,-1.18   ,-0.26    ,0.86    ,0.21
2019-06    ,6.99    ,0.52   ,-1.18    ,0.46   ,-0.85    ,0.18
2019-07    ,1.07   ,-1.01   ,-0.69    ,0.27    ,0.00    ,0.19
2019-08   ,-2.48   ,-3.36   ,-2.41    ,1.40   ,-0.59    ,0.16
2019-09    ,1.52    ,0.28    ,6.13    ,1.43    ,3.14    ,0.18
2019-10    ,1.83    ,0.01   ,-1.47    ,1.06   ,-0.98    ,0.15
2019-11    ,3.80    ,0.21   ,-2.79   ,-1.67   ,-1.41    ,0.12
2019-12    ,2.79    ,0.82    ,1.43   ,-0.21    ,1.57    ,0.14
2020-01   ,-0.34   ,-3.74   ,-6.08   ,-0.04   ,-2.84    ,0.13
2020-02   ,-8.23   ,-0.69   ,-2.50   ,-0.83   ,-2.42    ,0.12
2020-03  ,-14.09   ,-9.81  ,-10.40    ,0.12   ,-1.75    ,0.12
2020-04   ,13.33    ,3.82   ,-2.54    ,2.03   ,-0.38    ,0.00
2020-05    ,5.45    ,2.22   ,-5.40    ,0.89   ,-2.79    ,0.01
2020-06    ,2.43    ,1.54   ,-3.58    ,1.39   ,-0.47    ,0.01
2020-07    ,5.71   ,-2.63   ,-2.21    ,0.56    ,0.32    ,0.01
2020-08    ,7.44   ,-1.31   ,-4.61    ,3.36   ,-1.38    ,0.01
2020-09   ,-3.66    ,0.29   ,-2.07    ,0.11   ,-1.04    ,0.01
2020-10   ,-2.11    ,4.91    ,2.43   ,-2.10   ,-0.89    ,0.01
2020-11   ,12.53    ,5.64    ,3.10   ,-2.48    ,1.36    ,0.01
2020-12    ,4.60    ,4.16   ,-2.04   ,-1.74    ,0.60    ,0.01
2021-01   ,-0.30    ,4.78    ,1.45   ,-2.62    ,2.00    ,0.00
2021-02    ,3.19    ,3.97    ,8.64   ,-0.91    ,0.20    ,0.00
2021-03    ,3.52   ,-1.84    ,8.09    ,4.26    ,4.70    ,0.00
2021-04    ,5.13   ,-2.22   ,-0.81    ,1.80   ,-2.09    ,0.00
2021-05    ,0.69    ,0.21    ,6.22    ,0.10    ,3.48    ,0.00
2021-06    ,2.31   ,-1.57   ,-7.85   ,-0.17   ,-3.00    ,0.00
2021-07    ,1.23   ,-4.53   ,-1.37    ,5.17    ,1.11    ,0.00
2021-08    ,2.81   ,-1.44   ,-0.51    ,0.00   ,-1.77    ,0.00
2021-09   ,-4.28    ,1.44    ,3.87   ,-2.55    ,2.10    ,0.00
2021-10    ,6.67   ,-2.93   ,-1.37    ,1.17   ,-1.92    ,0.00
2021-11   ,-1.82   ,-2.72   ,-0.28    ,6.22    ,0.97    ,0.00
2021-12    ,3.49   ,-1.24    ,5.27    ,3.61    ,6.60    ,0.01
2022-01   ,-5.74   ,-3.30   ,12.14   ,-0.98    ,9.68    ,0.00
2022-02   ,-2.22    ,2.86    ,3.26   ,-2.94    ,2.59    ,0.00
2022-03    ,3.28   ,-1.82   ,-1.04   ,-0.37    ,2.80    ,0.00
2022-04   ,-9.09    ,0.22    ,6.57    ,2.32    ,8.20    ,0.00
2022-05   ,-0.12    ,0.02    ,8.28   ,-0.27    ,5.21    ,0.03
2022-06   ,-8.46    ,1.00   ,-5.12    ,2.85   ,-3.49    ,0.06
2022-07    ,9.24    ,0.76   ,-5.56    ,2.92   ,-6.47    ,0.08
2022-08   ,-3.77    ,0.98    ,1.58   ,-2.61    ,1.35    ,0.19
2022-09   ,-9.30   ,-0.82    ,0.55   ,-1.57   ,-0.05    ,0.19
2022-10    ,7.96    ,1.44    ,7.66    ,1.10    ,6.64    ,0.23
2022-11    ,4.82   ,-1.21    ,0.85    ,3.54    ,2.54    ,0.29
2022-12   ,-6.30    ,0.31    ,1.77    ,0.14    ,3.92    ,0.33
2023-01    ,6.77    ,3.62   ,-3.52   ,-0.35   ,-4.20    ,0.35
2023-02   ,-2.68    ,0.53   ,-2.18    ,0.78   ,-0.94    ,0.34
2023-03    ,2.29   ,-6.27   ,-7.93    ,3.80   ,-1.41    ,0.36
2023-04    ,0.69   ,-2.19    ,1.25    ,2.27    ,2.50    ,0.35
2023-05   ,-0.10   ,-1.49   ,-8.10   ,-0.35   ,-6.49    ,0.36
2023-06    ,6.48    ,1.73   ,-0.98    ,2.42   ,-1.09    ,0.40
2023-07    ,3.15    ,1.77    ,3.16   ,-0.68    ,0.70    ,0.45
2023-08   ,-2.44   ,-2.46   ,-1.24    ,3.62   ,-0.95    ,0.45
2023-09   ,-5.09   ,-1.21    ,1.62    ,0.70    ,0.27    ,0.43
2023-10   ,-3.33   ,-3.78   ,-0.46    ,2.47    ,0.11    ,0.47
2023-11    ,8.81   ,-0.32   ,-1.66   ,-2.96   ,-1.69    ,0.44
2023-12    ,4.85    ,5.30    ,1.77   ,-3.02   ,-0.49    ,0.43
2024-01    ,0.62   ,-4.63   ,-1.04    ,1.56   ,-0.41    ,0.47
2024-02    ,4.83   ,-0.94   ,-2.64    ,1.07   ,-2.48    ,0.42
2024-03    ,2.85    ,0.04    ,4.51    ,0.88    ,1.67    ,0.43
2024-04   ,-4.65   ,-1.88    ,0.04    ,0.35    ,0.06    ,0.47
2024-05    ,4.24    ,0.11   ,-1.31    ,1.88   ,-1.93    ,0.44
2024-06    ,2.43   ,-3.92   ,-6.20    ,0.97   ,-2.24    ,0.41
2024-07    ,1.48    ,5.88    ,4.59   ,-1.66    ,0.72    ,0.45
2024-08    ,1.68   ,-3.02   ,-1.07   ,-0.34    ,0.64    ,0.48
2024-09    ,1.71   ,-0.50   ,-1.90   ,-0.24    ,0.14    ,0.40
2024-10   ,-1.07   ,-0.20    ,0.55   ,-1.80    ,0.46    ,0.39
2024-11    ,6.41    ,2.62   ,-0.13   ,-2.73   ,-1.40    ,0.40
2024-12   ,-3.45   ,-3.88   ,-3.19    ,2.02    ,0.85    ,0.37
2025-01    ,2.84   ,-0.33    ,1.95   ,-3.34   ,-3.10    ,0.37
2025-02   ,-2.29   ,-3.28    ,2.85    ,1.64    ,3.60    ,0.33
2025-03   ,-6.15   ,-0.40    ,4.27    ,1.27   ,-0.26    ,0.34
2025-04   ,-0.63   ,-0.66   ,-3.49   ,-1.60   ,-1.69    ,0.35
2025-05    ,6.02   ,-0.48   ,-1.93   ,-0.50   ,-0.37    ,0.38
2025-06    ,4.79   ,-0.53    ,0.65   ,-2.37    ,0.59    ,0.34
